Numero de Solicitud;Cliente;Fecha;;;;;;
;;;;;;;;
SG21-001;SPECT;04/01/2021;;;;;;
SG21-002;DEFRUT;05/01/2021;;;;;;
SG21-003;CRIMSA;05/01/2021;;;;;;
SG21-004;NEWLINE;07/01/2021;;;;;;
SG21-005;Mendoza;11/01/2021;;;;;;
SG21-006;DEFRUT;11/01/2021;;;;;;
SG21-007;IDM;11/01/2021;;;;;;
SG21-008;SPECT;12/01/2021;;;;;;
SG21-009;DEFRUT;12/01/2021;;;;;;
SG21-010;AVODEHY;13/01/2021;;;;;;
SG21-011;SPECT;13/01/2021;;;;;;
SG21-012;SPECT;14/01/2021;;;;;;
SG21-013;SPECT;18/01/2021;;;;;;
SG21-014;SPECT;18/01/2021;;;;;;
SG21-015;SPECT;18/01/2021;;;;;;
SG21-016;SPECT;20/01/2021;;;;;;
SG21-017;PINTALIA;20/01/2021;;;;;;
SG21-018;MENDOZA;20/01/2021;;;;;;
SG21-019;SPECT;21/01/2021;;;;;;
SG21-020;Engrapadoras;22/01/2021;;;;;;
SG21-021;Alfredo Vilchez;22/01/2021;;;;;;
SG21-022;AMERICAN;22/01/2021;;;;;;
SG21-023;MARIO MENDOZA;25/01/2021;;;;;;
SG21-024;SPECT;26/01/2021;;;;;;
SG21-025;HUGO;26/01/2021;;;;;;
SG21-026;PERFORMANCE;27/01/2021;;;;;;
SG21-027;SITCI;28/01/2021;;;;;;
SG21-028;PERFORMANCE;02/02/2021;;;;;;
SG21-029;Carlos Escobar;03/02/2021;;;;;;
SG21-030;SPECT;03/02/2021;;;;;;
SG21-031;COMFIVISA;04/02/2021;;;;;;
SG21-032;SPECT;04/02/2021;;;;;;
SG21-033;SPECT;04/02/2021;;;;;;
SG21-034;SPECT;08/02/2021;;;;;;
SG21-035;SPECT;09/02/2021;;;;;;
SG21-036;SPECT;10/02/2021;;;;;;
SG21-037;SPECT;10/02/2021;;;;;;
SG21-038;SPECT;12/02/2021;;;;;;
SG21-039;CIVY;15/02/2021;;;;;;
SG21-040;SPECT;15/02/2021;;;;;;
SG21-041;SPECT;16/02/2021;;;;;;
SG21-042;COMFIVISA;16/02/2021;;;;;;
SG21-043;AM CAPITAL;19/02/2021;;;;;;
SG21-044;ACM;23/02/2021;;;;;;
SG21-045;SPECT;23/02/2021;;;;;;
SG21-046;SPECT;24/02/2021;;;;;;
SG21-047;SPECT;24/02/2021;;;;;;
SG21-048;ACM ADF;25/02/2021;;;;;;
SG21-049;CESAR;26/02/2021;;;;;;
SG21-050;SPECT;26/02/2021;;;;;;
SG21-051;SPECT;26/02/2021;;;;;;
